STATISTIC,Statistic Label,TLIST(W1),Year,C03910V04662,Transport Traffic Site,C01198V01436,Weeks of the year,UNIT,VALUE
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,1,Week 01,Number,23838.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,2,Week 02,Number,38353.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,3,Week 03,Number,39973.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,4,Week 04,Number,40314.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,5,Week 05,Number,40709.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,6,Week 06,Number,40682.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,7,Week 07,Number,41778.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,8,Week 08,Number,41783.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,9,Week 09,Number,42588.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,10,Week 10,Number,42979.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,11,Week 11,Number,41785.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,12,Week 12,Number,38313.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,13,Week 13,Number,43440.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,14,Week 14,Number,43310.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,15,Week 15,Number,42998.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,16,Week 16,Number,40096.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,17,Week 17,Number,35429.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,18,Week 18,Number,42366.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,19,Week 19,Number,37060.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,20,Week 20,Number,42644.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,21,Week 21,Number,42946.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,22,Week 22,Number,42419.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,23,Week 23,Number,38651.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,24,Week 24,Number,43891.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,25,Week 25,Number,44160.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,26,Week 26,Number,43695.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,27,Week 27,Number,43422.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,28,Week 28,Number,42534.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,29,Week 29,Number,42507.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,30,Week 30,Number,41604.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,31,Week 31,Number,40527.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,32,Week 32,Number,37706.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,33,Week 33,Number,42592.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,34,Week 34,Number,42878.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,35,Week 35,Number,43586.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,36,Week 36,Number,44461.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,37,Week 37,Number,44727.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,38,Week 38,Number,44917.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,39,Week 39,Number,45197.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,40,Week 40,Number,44118.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,41,Week 41,Number,44632.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,42,Week 42,Number,44899.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,43,Week 43,Number,45342.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,44,Week 44,Number,39478.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,45,Week 45,Number,43402.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,46,Week 46,Number,43796.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,47,Week 47,Number,42971.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,48,Week 48,Number,43419.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,49,Week 49,Number,44217.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,50,Week 50,Number,44302.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,51,Week 51,Number,45311.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,10,Selected traffic sites - Dublin,52,Week 52,Number,13757.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,1,Week 01,Number,8869.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,2,Week 02,Number,14282.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,3,Week 03,Number,14646.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,4,Week 04,Number,14251.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,5,Week 05,Number,14171.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,6,Week 06,Number,14617.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,7,Week 07,Number,14756.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,8,Week 08,Number,14727.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,9,Week 09,Number,15125.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,10,Week 10,Number,15260.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,11,Week 11,Number,15170.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,12,Week 12,Number,13812.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,13,Week 13,Number,15902.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,14,Week 14,Number,15818.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,15,Week 15,Number,15827.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,16,Week 16,Number,14946.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,17,Week 17,Number,13381.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,18,Week 18,Number,15685.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,19,Week 19,Number,13975.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,20,Week 20,Number,15741.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,21,Week 21,Number,15605.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,22,Week 22,Number,15711.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,23,Week 23,Number,14022.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,24,Week 24,Number,15891.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,25,Week 25,Number,15783.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,26,Week 26,Number,15605.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,27,Week 27,Number,15716.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,28,Week 28,Number,15630.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,29,Week 29,Number,15651.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,30,Week 30,Number,15382.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,31,Week 31,Number,14837.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,32,Week 32,Number,13487.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,33,Week 33,Number,15196.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,34,Week 34,Number,15265.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,35,Week 35,Number,15234.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,36,Week 36,Number,15343.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,37,Week 37,Number,15311.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,38,Week 38,Number,15143.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,39,Week 39,Number,15228.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,40,Week 40,Number,15251.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,41,Week 41,Number,15433.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,42,Week 42,Number,15481.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,43,Week 43,Number,15743.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,44,Week 44,Number,13488.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,45,Week 45,Number,15373.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,46,Week 46,Number,15730.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,47,Week 47,Number,15306.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,48,Week 48,Number,15520.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,49,Week 49,Number,16320.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,50,Week 50,Number,16000.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,51,Week 51,Number,16195.0
THA22C01,Average weekly volume of heavy goods vehicles,2019,2019,20,Selected traffic sites - Regional,52,Week 52,Number,4882.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,1,Week 01,Number,21007.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,2,Week 02,Number,42054.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,3,Week 03,Number,43727.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,4,Week 04,Number,44415.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,5,Week 05,Number,44479.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,6,Week 06,Number,44839.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,7,Week 07,Number,43672.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,8,Week 08,Number,44516.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,9,Week 09,Number,44497.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,10,Week 10,Number,46362.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,11,Week 11,Number,47411.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,12,Week 12,Number,40137.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,13,Week 13,Number,44447.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,14,Week 14,Number,28099.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,15,Week 15,Number,25812.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,16,Week 16,Number,23460.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,17,Week 17,Number,27389.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,18,Week 18,Number,28668.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,19,Week 19,Number,26065.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,20,Week 20,Number,30139.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,21,Week 21,Number,38828.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,22,Week 22,Number,41753.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,23,Week 23,Number,38104.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,24,Week 24,Number,43727.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,25,Week 25,Number,43846.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,26,Week 26,Number,44004.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,27,Week 27,Number,45038.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,28,Week 28,Number,44822.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,29,Week 29,Number,44049.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,30,Week 30,Number,44327.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,31,Week 31,Number,43459.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,32,Week 32,Number,38129.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,33,Week 33,Number,43811.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,34,Week 34,Number,43282.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,35,Week 35,Number,43934.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,36,Week 36,Number,44803.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,37,Week 37,Number,45076.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,38,Week 38,Number,46214.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,39,Week 39,Number,46030.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,40,Week 40,Number,46474.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,41,Week 41,Number,45906.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,42,Week 42,Number,46591.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,43,Week 43,Number,46845.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,44,Week 44,Number,41479.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,45,Week 45,Number,46947.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,46,Week 46,Number,46837.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,47,Week 47,Number,47281.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,48,Week 48,Number,48101.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,49,Week 49,Number,48718.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,50,Week 50,Number,49328.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,51,Week 51,Number,50049.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,52,Week 52,Number,25598.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,53,Week 53,Number,15878.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,1,Week 01,Number,7676.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,2,Week 02,Number,14148.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,3,Week 03,Number,14236.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,4,Week 04,Number,14918.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,5,Week 05,Number,15038.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,6,Week 06,Number,15084.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,7,Week 07,Number,14686.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,8,Week 08,Number,15090.0
