STATISTIC,Statistic Label,TLIST(W1),Year,C03910V04662,Transport Traffic Site,C01198V01436,Weeks of the year,UNIT,VALUE
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,17,Week 17,Number,46564.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,18,Week 18,Number,41037.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,19,Week 19,Number,47155.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,20,Week 20,Number,46836.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,21,Week 21,Number,45781.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,22,Week 22,Number,45243.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,23,Week 23,Number,40520.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,24,Week 24,Number,46559.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,25,Week 25,Number,46125.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,26,Week 26,Number,45337.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,27,Week 27,Number,46805.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,28,Week 28,Number,46436.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,29,Week 29,Number,45768.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,30,Week 30,Number,43846.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,31,Week 31,Number,39687.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,32,Week 32,Number,44689.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,33,Week 33,Number,44771.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,34,Week 34,Number,45440.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,35,Week 35,Number,44997.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,36,Week 36,Number,45045.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,37,Week 37,Number,45387.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,38,Week 38,Number,45085.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,39,Week 39,Number,45441.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,40,Week 40,Number,45968.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,41,Week 41,Number,46348.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,42,Week 42,Number,45130.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,43,Week 43,Number,45344.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,44,Week 44,Number,39983.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,45,Week 45,Number,45829.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,46,Week 46,Number,46281.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,47,Week 47,Number,45500.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,48,Week 48,Number,46259.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,49,Week 49,Number,45913.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,50,Week 50,Number,45387.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,51,Week 51,Number,37338.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,10,Selected traffic sites - Dublin,52,Week 52,Number,15675.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,1,Week 01,Number,11768.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,2,Week 02,Number,15405.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,3,Week 03,Number,15987.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,4,Week 04,Number,16127.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,5,Week 05,Number,16168.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,6,Week 06,Number,16011.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,7,Week 07,Number,15320.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,8,Week 08,Number,15826.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,9,Week 09,Number,16615.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,10,Week 10,Number,16509.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,11,Week 11,Number,12669.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,12,Week 12,Number,17033.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,13,Week 13,Number,16651.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,14,Week 14,Number,16774.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,15,Week 15,Number,15925.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,16,Week 16,Number,14247.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,17,Week 17,Number,16875.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,18,Week 18,Number,15022.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,19,Week 19,Number,16821.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,20,Week 20,Number,16746.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,21,Week 21,Number,16588.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,22,Week 22,Number,16658.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,23,Week 23,Number,14636.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,24,Week 24,Number,16612.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,25,Week 25,Number,16320.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,26,Week 26,Number,16125.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,27,Week 27,Number,16230.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,28,Week 28,Number,16210.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,29,Week 29,Number,16102.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,30,Week 30,Number,15812.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,31,Week 31,Number,14066.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,32,Week 32,Number,16292.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,33,Week 33,Number,16004.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,34,Week 34,Number,16340.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,35,Week 35,Number,16122.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,36,Week 36,Number,16252.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,37,Week 37,Number,16230.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,38,Week 38,Number,16286.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,39,Week 39,Number,16278.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,40,Week 40,Number,16528.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,41,Week 41,Number,16420.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,42,Week 42,Number,16122.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,43,Week 43,Number,16284.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,44,Week 44,Number,14139.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,45,Week 45,Number,16136.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,46,Week 46,Number,16216.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,47,Week 47,Number,16229.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,48,Week 48,Number,16569.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,49,Week 49,Number,16819.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,50,Week 50,Number,16449.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,51,Week 51,Number,13615.0
THA22C01,Average weekly volume of heavy goods vehicles,2022,2022,20,Selected traffic sites - Regional,52,Week 52,Number,5272.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,1,Week 01,Number,32580.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,2,Week 02,Number,41760.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,3,Week 03,Number,43066.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,4,Week 04,Number,43643.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,5,Week 05,Number,44680.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,6,Week 06,Number,40400.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,7,Week 07,Number,44726.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,8,Week 08,Number,45420.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,9,Week 09,Number,45397.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,10,Week 10,Number,45677.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,11,Week 11,Number,39677.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,12,Week 12,Number,45010.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,13,Week 13,Number,45228.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,14,Week 14,Number,43786.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,15,Week 15,Number,39018.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,16,Week 16,Number,45385.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,17,Week 17,Number,45684.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,18,Week 18,Number,41291.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,19,Week 19,Number,46021.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,20,Week 20,Number,46246.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,21,Week 21,Number,46779.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,22,Week 22,Number,46249.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,23,Week 23,Number,42231.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,24,Week 24,Number,46286.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,25,Week 25,Number,46420.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,26,Week 26,Number,46141.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,27,Week 27,Number,46185.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,28,Week 28,Number,44389.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,29,Week 29,Number,44762.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,30,Week 30,Number,43547.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,31,Week 31,Number,43192.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,32,Week 32,Number,39932.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,33,Week 33,Number,44947.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,34,Week 34,Number,44832.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,35,Week 35,Number,45229.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,36,Week 36,Number,45763.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,37,Week 37,Number,45580.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,38,Week 38,Number,45667.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,10,Selected traffic sites - Dublin,39,Week 39,Number,45029.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,1,Week 01,Number,11472.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,2,Week 02,Number,15002.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,3,Week 03,Number,15607.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,4,Week 04,Number,15958.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,5,Week 05,Number,15069.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,6,Week 06,Number,14210.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,7,Week 07,Number,15534.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,8,Week 08,Number,15262.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,9,Week 09,Number,16464.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,10,Week 10,Number,16454.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,11,Week 11,Number,14571.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,12,Week 12,Number,16722.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,13,Week 13,Number,16560.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,14,Week 14,Number,14678.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,15,Week 15,Number,14832.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,16,Week 16,Number,16364.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,17,Week 17,Number,17023.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,18,Week 18,Number,15050.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,19,Week 19,Number,16929.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,20,Week 20,Number,17160.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,21,Week 21,Number,17070.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,22,Week 22,Number,17415.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,23,Week 23,Number,15260.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,24,Week 24,Number,16558.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,25,Week 25,Number,16866.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,26,Week 26,Number,16830.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,27,Week 27,Number,16336.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,28,Week 28,Number,16202.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,29,Week 29,Number,16589.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,30,Week 30,Number,16600.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,31,Week 31,Number,16317.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,32,Week 32,Number,14825.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,33,Week 33,Number,16836.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,34,Week 34,Number,16984.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,35,Week 35,Number,16648.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,36,Week 36,Number,16709.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,37,Week 37,Number,16481.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,38,Week 38,Number,16396.0
THA22C01,Average weekly volume of heavy goods vehicles,2023,2023,20,Selected traffic sites - Regional,39,Week 39,Number,16402.0
